Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID,Symbol,Gender
Mosche KaZ,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-2541'>hha-2541</a>,9.950545,53.549373,1632,,,7012310,Priesterhände,Mann
Elijahu ben David KaZ,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-3338'>hha-3338</a>,9.950545,53.549373,1653,,,7012310,Priesterhände,Mann
Awraham ben Meir KaZ,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-3215'>hha-3215</a>,9.950545,53.549373,1691,,,7012310,Priesterhände,Mann
Elieser ben Awraham KaZ,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-3265'>hha-3265</a>,9.950545,53.549373,1692,,,7012310,Priesterhände,Mann
David Uri ben Schimon Hakohen,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-2416'>hha-2416</a>,9.950545,53.549373,1695,,,7012310,Priesterhände,Mann
Elija ben Natan Hakohen,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-3164'>hha-3164</a>,9.950545,53.549373,1699,,,7012310,Priesterhände,Mann
Jizchak ben Schmuel Kohen,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-3320'>hha-3320</a>,9.950545,53.549373,1702,,,7012310,Priesterhände,Mann
Natan ben Elijahu KaZ,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-1300'>hha-1300</a>,9.950545,53.549373,1704,,,7012310,Priesterhände,Mann
Jokew ben David Tewle Schiff KaZ,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-1379'>hha-1379</a>,9.950545,53.549373,1707,,,7012310,Priesterhände,Mann
Jehuda Jizchak Eisek ben Aharon Hakohen,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-1517'>hha-1517</a>,9.950545,53.549373,1707,,,7012310,Priesterhände,Mann
Natan ben Schmuel Kohen,Hamburg-Altona,<a href='http://steinheim-institut.de/cgi-bin/epidat?id=hha-1516'>hha-1516</a>,9.950545,53.549373,1708,,,7012310,Priesterhände,Mann
